Municipality code;promedio_tasa_dengue_mensual;promedio_tasa_dengue_mensual_x10000_habitantes
5885;8.473329853231596e-05;0.8473329853232981
5887;1.0982006997749035e-05;0.10982006997749606
5890;9.54551239891173e-05;0.9545512398913011
5893;0.00017716059651811959;1.7716059651814655
5895;5.731530868471785e-05;0.5731530868472773
8001;0.00012710420404163491;1.2710420404166283
8078;0.00015907581696772565;1.5907581696774795
8137;2.510667488362074e-05;0.25106674883624985
8141;0.0001489803320618257;1.489803320618339
8296;0.00020875502955972644;2.087550295597558
8372;0.00012840684271236188;1.284068427123812
8421;0.00016005376828117951;1.6005376828119262
8433;0.00014179807679360018;1.4179807679363146
8436;7.367987224028011e-05;0.7367987224029141
8520;0.00015575089529421888;1.5575089529423094
8549;0.00012270367948614792;1.227036794861627
8558;0.0002150162070008454;2.1501620700086015
8560;0.00013804744130360824;1.3804744130362303
