Cod_Div,Municipio,Humedad
25224,CUCUNUBÁ,86.125
25245,EL COLEGIO,80.3625
25258,EL PEÑÓN,91.12375
25260,EL ROSAL,85.85375
25269,FACATATIVÁ,85.31625
25279,FÓMEQUE,92.4275
25281,FOSCA,93.27625
25286,FUNZA,84.5025
25288,FÚQUENE,85.75375
25290,FUSAGASUGÁ,83.5025
25293,GACHALÁ,94.78
25295,GACHANCIPÁ,86.72125
25297,GACHETÁ,93.39874999999999
25299,GAMA,94.27625
25307,GIRARDOT,77.73125
25312,GRANADA,80.63374999999999
25317,GUACHETÁ,85.6275
25320,GUADUAS,85.11749999999999
25322,GUASCA,88.12625
25324,GUATAQUÍ,78.29375
25326,GUATAVITA,88.2475
25328,GUAYABAL DE SÍQUIMA,86.365
25335,GUAYABETAL,93.63875
25339,GUTIÉRREZ,94.07875
25368,JERUSALÉN,78.47875
25372,JUNÍN,93.5325
25377,LA CALERA,87.1625
25386,LA MESA,81.39500000000001
25394,LA PALMA,91.17125
25398,LA PEÑA,90.25
25402,LA VEGA,87.99375
25407,LENGUAZAQUE,86.25
25426,MACHETÁ,90.80875
25430,MADRID,84.27000000000001
25436,MANTA,92.70875
25438,MEDINA,91.91875
25473,MOSQUERA,84.31875
25483,NARIÑO,78.0575
25486,NEMOCÓN,86.63125
25488,NILO,79.39
25489,NIMAIMA,89.52000000000001
25491,NOCAIMA,88.9325
25513,PACHO,88.5025
25518,PAIME,91.14375
25524,PANDI,84.1975
25530,PARATEBUENO,90.55
25535,PASCA,85.93375
25572,PUERTO SALGAR,86.4425
25580,PULÍ,79.58624999999999
25592,QUEBRADANEGRA,89.34
25594,QUETAME,93.71875
25596,QUIPILE,83.425
25599,APULO,78.12
25612,RICAURTE,77.56125
25645,SAN ANTONIO DEL TEQUENDAMA,82.12375
27001,QUIBDÓ,95.1075
27006,ACANDÍ,88.66375000000001
27025,ALTO BAUDÓ,96.58125
27050,ATRATO,94.94500000000001
27073,BAGADÓ,94.67625000000001
27075,BAHÍA SOLANO,90.13250000000001
27077,BAJO BAUDÓ,91.12125
27099,BOJAYÁ,93.14750000000001
27135,EL CANTÓN DEL SAN PABLO,95.8775
27150,CARMEN DEL DARIÉN,92.6925
27160,CÉRTEGUI,94.885
27205,CONDOTO,95.04125
27245,EL CARMEN DE ATRATO,95.78875000000001
27250,EL LITORAL DEL SAN JUAN,93.13875
27361,ISTMINA,95.39625
27372,JURADÓ,90.95625
27413,LLORÓ,94.22
27425,MEDIO ATRATO,94.8025
27430,MEDIO BAUDÓ,96.53125
27450,MEDIO SAN JUAN,95.28
27491,NÓVITA,94.935
27495,NUQUÍ,90.9975
27580,RÍO IRÓ,94.58624999999999
27600,RÍO QUITO,95.72375
27615,RIOSUCIO,92.93125
41001,NEIVA,69.51875
41006,ACEVEDO,92.345
41013,AGRADO,80.58125
41016,AIPE,67.49625
41020,ALGECIRAS,84.76375
41026,ALTAMIRA,88.1275
41078,BARAYA,73.4325
41132,CAMPOALEGRE,75.66499999999999
41206,COLOMBIA,81.1875
41244,ELÍAS,90.185
41298,GARZÓN,85.8475
41306,GIGANTE,81.05375000000001
41319,GUADALUPE,89.6975
41349,HOBO,75.28375
41357,ÍQUIRA,79.03875000000001
41359,ISNOS,92.22375
41378,LA ARGENTINA,88.55125000000001
41396,LA PLATA,84.24375
41483,NÁTAGA,83.14375
41503,OPORAPA,90.1775
41518,PAICOL,80.4525
41524,PALERMO,71.8575
41530,PALESTINA,93.315
