Municipality code;Tasa2007(x10000);Tasa2008(x10000);Tasa2009(x10000);Tasa2010(x10000);Tasa2011(x10000);Tasa2012(x10000);Tasa2013(x10000);Tasa2014(x10000);Tasa2015(x10000);Tasa2016(x10000);Tasa2017(x10000);Tasa2018(x10000);Tasa2019(x10000)
8372;13.17523057;29.0885585;9.517162617;20.48671468;8.492053864;4.723665564;29.18621953;24.27586207;18.06780742;3.07188204;1.486252167;23.3344445;20.02639843
8421;3.363040188;12.40797419;2.44061178;6.804627146;0.394119734;0.778058743;52.29160258;122.5312988;19.221347;3.716228771;4.753894537;1.774622893;18.39989096
8433;8.466748768;22.25730972;15.42788873;16.47661159;8.201479952;13.95756171;30.40665518;31.94518598;36.17030549;6.84052292;1.792757261;12.24620329;13.46045156
8436;8.176614881;3.294024639;2.545662827;4.302661503;5.375701828;1.748863239;27.96803653;33.11444126;15.45509742;0;2.098525786;2.019386107;32.37027732
8520;1.6486687;4.479009732;3.624501631;3.584086655;1.969201686;1.93986421;30.05859524;47.74694121;106.9538371;16.64314917;3.559605596;2.073828287;8.639595933
8549;3.820439351;26.33559067;9.243852838;16.38448935;5.388898868;0;24.06738869;36.83858004;39.22850605;4.792332268;0;10.59322034;0
8558;2.686547115;1.958991772;5.103668262;0;2.454740718;27.82145881;108.6567164;28.37550248;15.77102804;4.604581559;2.831417408;109.3586855;65.46644845
8560;0.512190125;3.000750188;5.372930201;19.14058762;0.939540565;1.387411553;84.36317206;46.91023906;27.63908702;5.710520536;1.295952309;2.51593425;20.50086425
8573;14.35976464;19.35372386;31.71896317;19.87134148;20.90176172;7.147730596;16.86445971;24.338655;20.17015334;8.546811115;3.001522201;7.713543358;15.86226908
8606;12.18662953;7.74626673;2.127206977;2.523871619;0;0.826275563;38.91847603;17.89563591;13.32041657;3.586228881;4.321011902;0.381679389;7.706704833
8634;24.67542328;30.7277224;10.00704199;4.768717215;0.726321906;5.396848241;24.21652422;82.29873738;21.73838032;4.355108878;1.61582213;3.711263685;6.202374623
8638;3.393569186;31.14023971;1.914448101;3.554544485;4.926223932;4.649594904;36.42021552;31.56666743;32.44138432;4.255938714;1.103302183;10.61536977;32.98799031
8675;2.916089524;2.136904338;0.700182047;4.153111373;1.368082632;1.355380862;1.34354427;15.33128916;1.32310135;3.264133699;0;0;1.804619827
8685;4.471908285;24.8965988;21.03258066;9.808152536;1.553096486;1.532743227;51.2743176;43.21808511;142.1510264;17.65536723;3.805569971;2.346709578;3.545299255
8758;8.158944609;16.94536516;9.561071086;10.21404918;4.415560435;5.705005496;27.04914485;21.18323204;11.03028574;5.595642371;5.671822073;11.17551519;9.575826914
8770;18.57645679;28.84615385;37.97588531;8.453085376;3.713330858;1.843487879;21.92782092;74.30228344;1.794526694;3.533881085;0;0.837520938;17.09819248
8832;40.83368779;50.38407533;12.86380447;22.78441232;3.845858011;3.012048193;30.93922652;120.0342955;8.165487207;5.113454778;6.05107104;6.330206595;4.398020891
8849;10.04576404;30.86760004;8.706061595;7.502679528;1.047998323;4.039587962;17.238077;46.32152589;65.72605381;18.82111387;10.08742434;14.69387755;18.04912501
11001;0;0.00144155;0;0;0;0.086564843;0.205631925;0.224170197;0;0;0;0;0
13001;4.127632614;9.549448651;2.673998151;13.89283846;3.530559436;2.310369068;25.19223776;10.06372597;3.792250079;1.377575016;0.591544713;5.693467414;19.14943433
13006;12.65246217;12.45516142;2.456036939;21.73178152;3.735699276;7.071198126;1.707140114;11.72480214;18.56052794;3.278957292;2.054484941;0.821287779;2.43803332
13030;0.94277364;0;0.947777462;2.852524484;0;0;0.941708259;3.748125937;25.16309413;12.01478743;0.92174394;0.911410864;58.36059775
13042;0;1.332267519;3.970354685;2.631578947;2.61951539;1.317175975;179.6168175;12.17697199;12.30853392;0;2.749518834;2.715546504;35.57312253
13052;1.970896429;4.863892086;2.080665813;10.42604616;6.377154234;7.182151589;23.8414993;11.52263374;40.40884241;10.61492872;2.634159191;0.863272089;24.36070549
13062;0;0;1.14298777;0;1.154201293;0;1.170411985;3.569728701;0;1.215362178;0;1.211533802;5.879586077
13074;1.310701881;0;1.27420999;1.256834035;0;3.031037827;83.76712739;51.07494952;14.35750179;4.93705258;2.607222005;0.674036128;77.35396106
13140;0;0;0;0;0;0.444582759;3.517411185;15.6924284;2.170327285;1.306221971;0.441852245;3.559668951;4.387119417
13160;15.24777637;2.507208224;6.196554716;7.372818874;2.427479063;10.88139282;78.89306955;56.51799975;7.418397626;17.27541955;3.682789099;4.857906242;22.38454288
13188;0;2.692998205;0.889046942;4.393673111;0;0;8.401949252;3.302782594;25.77112024;7.794839816;4.571428571;0;1.438538445
13212;0;1.450747135;0.712859994;2.815711671;4.851004851;10.20061204;6.704210244;8.588227522;8.45638457;15.42119129;2.551345835;1.879699248;36.97996918
13222;0;0.885739593;0;1.718065458;1.676305423;6.492979466;7.083267748;5.341880342;0;0;2.831257078;0;17.98321567
13244;10.53059137;15.78014976;6.486422738;12.26456417;10.81751572;18.92591855;16.39251597;12.71923006;35.89263421;44.37848714;18.22617681;10.12391097;65.1005208
13248;15.10003775;2.477700694;0;1.205836247;2.383790226;1.173571177;10.4432583;2.310269146;2.301231159;12.75806077;2.326392928;3.469411357;4.532577904
13268;0;2.493765586;0;3.658982803;0;1.200624325;2.406449284;2.439321869;55.24861878;0;0;0;2.536783359
13300;0.880669309;0.866926745;0;0;0.829668962;0;8.002560819;0;4.756242568;8.00576415;0;2.435658034;3.149854319
13430;6.808748011;4.866653689;1.764290755;11.09218397;1.475739617;17.33745192;23.89950259;13.20442236;55.41955154;19.29026938;6.982339235;4.051924664;13.06283296
13433;7.329165768;0.42408821;0.418742934;1.649892757;1.212464131;1.179477098;7.705347511;8.353584447;0.374307531;0.369508185;0;0.722230247;16.43241731
13440;1.048437828;0;0;13.0508985;1.974528581;5.813390175;2.85904889;0.940114694;8.368978985;7.421150278;0.936154278;0;8.247044809
13442;0;0.863241038;0;0.420769166;0;0.608716825;0.60370676;2.833033167;3.301623986;0.211954218;0;0.650589868;5.486505307
13458;3.936620411;4.925137904;1.914608463;11.75194359;3.305785124;7.526153383;13.9655052;1.986228814;3.83656244;5.630982919;3.100198413;13.42363781;9.99000999
13468;0.480757674;2.852388876;3.057744326;19.5599022;1.611714865;3.180806107;13.97529528;19.97351826;108.2280183;29.86951737;8.590871069;7.650420773;36.04554046
13473;0;1.744186047;3.980212657;12.79554937;10.17784444;53.70677107;27.01920293;48.79666477;15.39035538;4.604051565;0.456892219;4.043308325;12.69368817
13490;#¡DIV/0!;0;0;2.48015873;4.823926676;6.691947357;49.09983633;50.49005049;25.81872537;2.64096131;2.617801047;9.769865393;52.15395849
13549;0;0.429239816;0.422600685;12.07327227;1.219760114;2.749518834;0.768019661;24.24977266;14.34016378;4.216659639;1.997682688;1.238748039;24.96623419
13580;0;0;4.344048653;17.34229352;2.159360829;0;89.32369205;40.78303426;26.13403024;5.01002004;0;0;14.32049262
13600;4.87032753;7.723200494;2.282931284;2.250225023;0.73664825;3.64590929;89.54538497;16.53712585;10.23017903;0.851571149;2.536568868;3.774297037;15.98044745
13620;3.07503075;0;0;4.473605726;0;0;11.33144476;15.24601525;2.696871629;0;1.276324186;1.241619071;61.2244898
13647;1.908396947;1.25274037;0;0;0.603609585;1.189343482;1.763253791;2.911038659;2.307470436;0;0.560946878;0.547915183;23.4929788
13650;3.182939445;0;0;6.957866254;0;0;0.750412727;1.491869312;11.9510009;4.548555834;0.783146683;0;10.92640287
13654;0;0.894134478;0;5.696008413;1.298307872;0;4.226006846;2.945632048;41.98329065;8.393838922;2.102076852;2.92727805;116.3750413
13655;0;5.037148974;9.892419933;4.859676831;1.175226231;3.358334266;10.85658452;0;2.094679514;7.222451506;3.07188204;9.058882738;2.911208151
13657;2.394206021;1.47505679;0.582784545;2.883922134;4.271070615;1.681802893;9.148623548;53.21055389;6.860781031;0.821175376;1.369300288;23.32266638;54.54786178
13667;0;0.683854202;0;20.00133342;0.652911987;17.21938776;42.60384688;19.86960571;63.90767513;16.41310523;1.969796454;0.676864762;30.42184965
13670;0.396778161;1.187272439;1.573687938;2.732027164;11.95388116;28.10055442;6.017978711;1.867971756;6.315711261;6.288842853;1.10864745;16.55020228;6.775309346
13673;0;2.442201237;0;2.370791844;0;0;9.297668431;2.111486486;2.087537402;0.689893067;0.690464683;0.686671702;25.7679528
13683;3.663387063;17.70001011;0.972857282;7.105300554;6.849650179;10.97465378;47.34158776;5.599959273;21;2.95799645;0.486618005;5.247340552;20.21501424
13688;20.96513168;31.9512018;8.26565083;7.098995492;4.551661356;138.7311095;130.3064237;86.72649344;52.66969517;10.61400405;7.545034424;98.63382957;110.6792083
13744;2.217049108;25.29140092;3.82137788;8.138903961;3.762025044;10.63829787;38.13761322;36.10683375;5.88739028;1.087074682;2.765027927;19.32633904;18.20323375
13760;1.056859015;1.031459515;3.050640635;6.03378922;0;0.980296049;0;27.09240445;28.95193978;0;0;0.938967136;3.726823814
13780;1.735809755;0;0;19.04446468;3.261312678;0;1.588057805;3.919724051;42.74832893;2.308224975;1.536806516;2.28867867;18.31222341
13810;1.588478238;2.08355037;1.028700751;6.095392899;0.993245928;1.448715472;14.89740016;33.01468414;16.43638605;6.426735219;7.183908046;2.21790962;15.60482135
13836;0.929324845;1.675756375;2.233937986;9.381133818;3.310755818;2.857959417;12.7930211;34.89223448;5.942091616;2.162540676;1.385946502;4.088773938;31.41704534
13838;0.769230769;4.598405886;0;0.75511591;1.490201922;0.730300153;40.08589835;11.84091384;1.341651573;0;0.627155848;0;135.0713696
13873;3.715301736;2.055604091;2.00120072;10.2569112;4.292050169;9.303623761;3.200438917;14.9159284;0;0.440528634;4.756551068;0.84114901;53.29319393
13894;0;0;4.749240122;4.706768333;1.860638199;0;35.38698848;2.708314526;5.365286596;1.757623693;0.860807437;3.367003367;33.02237266
